SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-9.50913,-35.2651,296.231,52.4853,-30.6946,295.053,-6.66435,-39.3994,274.508,49.4385,-37.126,279.947,-2.53122,-40.7251,252.327,51.3167,-43.5544,258.987,19.7445,2.35899,275.669,22.8786,2.22399,261.454
-6.66435,-39.3994,274.508,49.4385,-37.126,279.947,-2.53122,-40.7251,252.327,51.3167,-43.5544,258.987,-2.05192,-36.8182,233.627,54.3267,-46.3702,237.441,24.5952,1.87934,257.795,28.2756,2.64122,243.476
-2.53122,-40.7251,252.327,51.3167,-43.5544,258.987,-2.05192,-36.8182,233.627,54.3267,-46.3702,237.441,2.6846,-35.9935,217.552,57.3721,-49.5399,216.043,30.8417,2.48764,238.652,37.0007,4.53023,226.297
-2.05192,-36.8182,233.627,54.3267,-46.3702,237.441,2.6846,-35.9935,217.552,57.3721,-49.5399,216.043,2.34241,-31.6161,199.577,56.4764,-48.1343,191.319,38.126,4.68758,221.756,40.5183,7.41577,208.105
2.6846,-35.9935,217.552,57.3721,-49.5399,216.043,2.34241,-31.6161,199.577,56.4764,-48.1343,191.319,3.1663,-28.3428,184.611,54.3932,-43.188,167.09,40.7292,8.63044,203.305,38.6327,11.0348,188.468
2.34241,-31.6161,199.577,56.4764,-48.1343,191.319,3.1663,-28.3428,184.611,54.3932,-43.188,167.09,-1.69637,-24.77,170.529,47.0873,-34.7186,143.963,36.8754,12.6219,184.882,32.0349,15.2185,173.324
3.1663,-28.3428,184.611,54.3932,-43.188,167.09,-1.69637,-24.77,170.529,47.0873,-34.7186,143.963,-6.93222,-24.3235,153.311,33.7773,-25.9144,123.77,30.2931,17.38,168.203,22.2188,21.3504,156.162
-1.69637,-24.77,170.529,47.0873,-34.7186,143.963,-6.93222,-24.3235,153.311,33.7773,-25.9144,123.77,-12.3445,-24.1047,130.836,25.3547,-16.1412,110.447,18.3611,24.0405,151.248,8.33822,27.1353,139.692
-6.93222,-24.3235,153.311,33.7773,-25.9144,123.77,-12.3445,-24.1047,130.836,25.3547,-16.1412,110.447,-25.4789,-19.0417,102.95,10.7588,-10.2651,92.1731,4.8326,27.3337,136.48,-8.23806,30.5076,125.126
-12.3445,-24.1047,130.836,25.3547,-16.1412,110.447,-25.4789,-19.0417,102.95,10.7588,-10.2651,92.1731,-38.46,-15.6924,79.7328,9.37314,1.16129,74.4236,-14.8273,32.2602,117.939,-20.2329,38.4382,100.625
-25.4789,-19.0417,102.95,10.7588,-10.2651,92.1731,-38.46,-15.6924,79.7328,9.37314,1.16129,74.4236,-45.0084,-12.0788,52.4302,11.9651,11.1108,54.8079,-22.067,40.6989,94.0669,-25.2624,43.5645,73.3367
-38.46,-15.6924,79.7328,9.37314,1.16129,74.4236,-45.0084,-12.0788,52.4302,11.9651,11.1108,54.8079,-47.0599,-5.31238,21.975,21.3306,16.522,32.1705,-25.8163,45.5089,65.6193,-24.3355,49.0384,45.78
-45.0084,-12.0788,52.4302,11.9651,11.1108,54.8079,-47.0599,-5.31238,21.975,21.3306,16.522,32.1705,-40.9459,7.31089,-6.86469,29.8536,19.2196,5.31581,-23.3729,51.8468,35.9582,-16.36,55.2251,11.8287
-22.4752,-86.55,285.282,31.5549,-80.8678,288.047,-19.0107,-92.3434,262.847,34.2514,-87.9606,266.348,-20.4692,-94.3761,241.292,35.1516,-95.3689,237.67,4.77814,-44.3712,258.132,6.6738,-46.0079,242.445
-19.0107,-92.3434,262.847,34.2514,-87.9606,266.348,-20.4692,-94.3761,241.292,35.1516,-95.3689,237.67,-20.5474,-94.9935,217.474,34.4645,-96.3028,209.22,6.47128,-46.5125,239.071,6.69152,-47.3045,223.705
-20.4692,-94.3761,241.292,35.1516,-95.3689,237.67,-20.5474,-94.9935,217.474,34.4645,-96.3028,209.22,-22.3746,-94.9909,193.031,31.0384,-92.0394,181.333,6.27157,-47.2906,220.768,4.15587,-44.7014,204.171
-20.5474,-94.9935,217.474,34.4645,-96.3028,209.22,-22.3746,-94.9909,193.031,31.0384,-92.0394,181.333,-23.9379,-93.5921,170.803,22.2829,-86.3172,155.393,3.94486,-44.2519,200.287,-0.409865,-41.9855,183.508
-22.3746,-94.9909,193.031,31.0384,-92.0394,181.333,-23.9379,-93.5921,170.803,22.2829,-86.3172,155.393,-29.2359,-91.171,149.054,15.093,-76.3552,131.857,-1.69717,-46.6332,179.151,-0.17506,-40.8498,179.884
-23.9379,-93.5921,170.803,22.2829,-86.3172,155.393,-29.2359,-91.171,149.054,15.093,-76.3552,131.857,-37.4022,-84.9853,123.628,3.0218,-65.2714,114.095,-7.51617,-37.6958,162.944,-9.18698,-36.6642,159.402
-29.2359,-91.171,149.054,15.093,-76.3552,131.857,-37.4022,-84.9853,123.628,3.0218,-65.2714,114.095,-40.6612,-78.3995,96.9971,-6.10083,-57.961,95.1818,-20.3968,-32.8143,142.028,-22.606,-31.1813,138.993
-37.4022,-84.9853,123.628,3.0218,-65.2714,114.095,-40.6612,-78.3995,96.9971,-6.10083,-57.961,95.1818,-55.9331,-73.351,68.0075,-6.43922,-44.062,73.1713,-33.6603,-26.6871,120.966,-36.3428,-24.7922,116.727
-40.6612,-78.3995,96.9971,-6.10083,-57.961,95.1818,-55.9331,-73.351,68.0075,-6.43922,-44.062,73.1713,-59.7034,-63.618,40.1455,-4.65696,-33.8356,52.2713,-43.1147,-20.2049,96.2561,-44.7696,-18.9544,91.7746
-55.9331,-73.351,68.0075,-6.43922,-44.062,73.1713,-59.7034,-63.618,40.1455,-4.65696,-33.8356,52.2713,-59.357,-50.7881,10.8998,7.85402,-25.1583,29.7614,-47.5017,-12.2012,70.9508,-49.6312,-9.60969,63.605
-7.34791,-65.8344,318.303,45.7513,-53.7732,328.49,-4.20157,-65.1317,296.713,50.656,-59.4784,307.769,-0.388533,-62.2035,273.86,55.9389,-64.6933,282.043,18.7756,-16.1603,301.865,24.4581,-15.1013,286.671
-4.20157,-65.1317,296.713,50.656,-59.4784,307.769,-0.388533,-62.2035,273.86,55.9389,-64.6933,282.043,3.46438,-58.0758,251.177,56.3055,-66.6174,255.661,25.5356,-15.5649,284.089,30.9178,-13.0904,268.876
-0.388533,-62.2035,273.86,55.9389,-64.6933,282.043,3.46438,-58.0758,251.177,56.3055,-66.6174,255.661,4.09171,-55.0276,231.58,56.4061,-65.5584,229.746,32.229,-12.7136,265.646,36.0693,-10.8777,248.302
3.46438,-58.0758,251.177,56.3055,-66.6174,255.661,4.09171,-55.0276,231.58,56.4061,-65.5584,229.746,3.27645,-51.3311,212.575,54.6789,-61.3697,203.65,35.7048,-10.167,245.647,36.289,-7.04689,228.539
4.09171,-55.0276,231.58,56.4061,-65.5584,229.746,3.27645,-51.3311,212.575,54.6789,-61.3697,203.65,1.7687,-46.2274,193.15,51.0617,-52.8128,182.169,36.8209,-6.25654,225.239,33.8845,-2.80865,206.077
