 ,SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
TrXFiducials016Closed, , , , , , , , , , , , , , , , , , 
 ,-0.09352646,0.000202035,0.047905071,0.068569436,-0.001302182,0.079075465,-0.081047921,0.000752242,-0.015585641,0.081047975,-0.000752242,0.015584753,-0.058424924,0.000214014,-0.087080568,0.083381895,0.000886134,-0.03989908
 ,-0.100027031,-0.001113432,0.047650584,0.073058167,-0.002719913,0.080934177,-0.075870306,-0.00168815,-0.028691347,0.075550315,-0.000970464,0.021688813,-0.063002312,0.006209527,-0.085753808,0.090291167,0.000282432,-0.035828418
 ,-0.098422655,-0.006184343,0.034211934,0.062533896,-0.005421459,0.087764857,-0.08474428,0.002210701,-0.026444116,0.078203073,-0.004089661,0.026625395,-0.061453433,0.017443902,-0.088934108,0.103883399,-0.00395914,-0.033223961
 ,-0.110906016,-0.004259709,0.035642837,0.062652619,-0.010970356,0.092168284,-0.086098447,0.011965492,-0.030916561,0.090005271,-0.010831335,0.028421482,-0.074098737,0.023446288,-0.086898153,0.11844531,-0.009350378,-0.038417888
 ,-0.114119858,0.004006717,0.036350492,0.073974259,-0.02034228,0.099728692,-0.101303122,0.016269208,-0.023442727,0.104350699,-0.018760489,0.02833842,-0.085561859,0.038370667,-0.08663532,0.122659881,-0.019543823,-0.054339557
 ,-0.12531203,0.00618661,0.052004447,0.096152181,-0.031536123,0.10776646,-0.108360601,0.029987199,-0.016046307,0.115868947,-0.032379679,0.01873231,-0.098029545,0.048407763,-0.087006384,0.119681048,-0.02066577,-0.075450525
 ,-0.127842676,0.020902123,0.076117784,0.118302169,-0.047560244,0.114295524,-0.116501904,0.041123039,-0.001777646,0.122486849,-0.034701464,0.010907636,-0.102953601,0.040630702,-0.086885239,0.106509164,-0.020394157,-0.112658058
 ,-0.130944817,0.026291728,0.099530816,0.135601608,-0.05827606,0.113678831,-0.115834266,0.02574262,0.00460951,0.117781544,-0.042318984,-0.02413516,-0.110982159,0.06039438,-0.068269534,0.10437809,-0.011833683,-0.125414463
 ,-0.121284442,0.00158853,0.122672716,0.140931032,-0.074805297,0.090409073,-0.115838331,0.04048242,0.04087169,0.125886703,-0.040587931,-0.023269023,-0.117751362,0.05901517,-0.087501293,0.088056399,0.014307109,-0.143183163
 ,-0.102194069,0.008905431,0.178127268,0.161065901,-0.079387361,0.108272351,-0.104277529,0.029089236,0.038317721,0.11986535,-0.019601801,-0.022324767,-0.139934004,0.041285761,-0.129289762,0.065474351,0.019708735,-0.17310281
 ,-0.089751759,-0.016014657,0.211801016,0.17082179,-0.072619607,0.141302108,-0.131203597,-0.001835792,0.016951745,0.107590445,-0.026919802,-0.03398238,-0.231050453,0.081243375,-0.131445656,0.173593575,0.036146485,-0.204626833
