SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-16.77077,-27.46825,363.9665,44.12493,-28.03345,375.6765,-12.0829,-27.2616,340.115,48.8128,-27.8268,351.825,-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,18.8744,9.41467,346.262,20.5919,12.9344,332.961
-12.0829,-27.2616,340.115,48.8128,-27.8268,351.825,-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,20.6001,13.4863,328.886,24.3883,17.3955,314.898
-3.58396,-27.4638,313.256,49.6896,-27.2113,330.981,0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,25.7875,17.6086,310.452,31.3398,20.8149,297.274
0.943322,-24.6852,293.18,54.8758,-26.7705,310.745,8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,12.381,-16.0757,255.101,72.2131,-26.2671,270.166,34.7876,21.6922,292.627,42.7153,25.0777,278.13
8.65215,-19.6433,272.497,63.3755,-26.7273,290.936,12.381,-16.0757,255.101,72.2131,-26.2671,270.166,16.9607,-9.64559,236.716,77.5399,-26.495,246.112,44.7435,25.6864,274.713,50.7031,28.8655,258.248
12.381,-16.0757,255.101,72.2131,-26.2671,270.166,16.9607,-9.64559,236.716,77.5399,-26.495,246.112,19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,53.1746,29.1227,253.74,56.7989,31.8733,238.897
16.9607,-9.64559,236.716,77.5399,-26.495,246.112,19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,58.2435,33.3808,234.595,59.046,36.9961,217.105
19.7518,-4.66898,217.545,78.5698,-23.3303,220.667,23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,24.1569,2.85635,180.517,71.6798,-13.082,167.907,58.3317,37.5784,212.782,56.7907,40.1893,195.038
23.0862,-4.79015,196.599,74.6375,-19.8091,190.256,24.1569,2.85635,180.517,71.6798,-13.082,167.907,23.7808,6.49987,155.279,64.2424,-2.28969,144.332,60.7823,41.7743,190.481,56.8052,46.3192,171.363
24.1569,2.85635,180.517,71.6798,-13.082,167.907,23.7808,6.49987,155.279,64.2424,-2.28969,144.332,17.3442,8.70155,125.023,54.4239,4.80653,117.114,56.0347,47.9241,164.607,49.1824,52.8807,146.7
23.7808,6.49987,155.279,64.2424,-2.28969,144.332,17.3442,8.70155,125.023,54.4239,4.80653,117.114,1.84008,21.602,101.98,64.6728,14.5994,90.6165,47.9822,55.145,140.544,39.5566,61.3339,119.842
17.3442,8.70155,125.023,54.4239,4.80653,117.114,1.84008,21.602,101.98,64.6728,14.5994,90.6165,-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,38.4376,64.242,111.959,29.4585,68.9261,88.8704
1.84008,21.602,101.98,64.6728,14.5994,90.6165,-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,28.2221,71.7522,80.7306,20.5131,74.0549,54.5386
-15.5049,20.8308,78.5598,64.4124,17.9729,64.8111,-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,-16.6082,22.2862,15.8428,51.5888,24.0479,10.3996,19.7084,75.2069,41.9984,16.6222,70.3012,15.6392
-25.0505,23.2868,49.9917,63.8419,22.4932,38.6159,-16.6082,22.2862,15.8428,51.5888,24.0479,10.3996,-18.5136,22.56325,-15.3398,49.6834,24.32495,-20.783,15.6578,68.5346,4.19961,15.4248,56.9265,-20.9794
