SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS,SupAntR,SupAntA,SupAntS,InfAntR,InfAntA,InfAntS
-43.1018,-12.9876,12.3067,12.6598,-4.846,17.7665,-41.6713,-20.3069,-11.7568,14.0903,-12.1653,-6.29701,-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,-15.7529,18.0215,-17.4413,-15.5977,17.7632,-33.6122
-41.6713,-20.3069,-11.7568,14.0903,-12.1653,-6.29701,-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,-15.426,16.977,-36.0292,-12.2515,15.4061,-52.0751
-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,-10.8233,13.5884,-56.9332,-6.66722,14.2319,-69.8137
-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,-4.0021,14.5843,-72.9424,2.19852,16.7603,-88.2658
-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,5.23336,17.3607,-91.7528,8.79194,19.7299,-106.741
-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,9.31157,20.8436,-111.726,10.8213,24.4483,-127.976
-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,11.5905,25.7676,-131.754,8.8478,28.7284,-148.732
-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,10.3675,31.5261,-153.582,3.05533,35.0886,-172.238
-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,1.6752,35.7127,-176.575,-6.60335,38.6165,-194.393
-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,-8.59606,39.6724,-199.968,-17.3697,42.9483,-218.632
-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,-19.5344,44.0251,-224.513,-24.4163,46.5146,-244.273
-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,-26.7867,48.7565,-251.339,-29.0161,51.9598,-272.358
-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,-56.1248,2.5605,-323.379,20.034,17.5465,-320.227,-29.5237,54.7913,-280.737,-28.4573,58.4854,-302.802
-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,-56.1248,2.5605,-323.379,20.034,17.5465,-320.227,-51.0135,5.99175,-350.781,25.1453,20.9778,-347.629,-25.4639,61.5516,-311.488,-19.9183,64.5265,-336.023
-50.7815,5.65845,46.6485,24.3604,2.31665,54.9341,-49.9687,-12.2902,34.0812,25.1732,-15.632,42.3668,-46.7262,-31.7434,19.9073,23.5563,-32.0761,31.4061,-9.51882,14.0836,14.8801,-8.6189,6.37364,2.82146
-49.9687,-12.2902,34.0812,25.1732,-15.632,42.3668,-46.7262,-31.7434,19.9073,23.5563,-32.0761,31.4061,-40.2147,-49.6982,2.87119,23.3787,-50.9484,11.3814,-8.03546,2.58974,-1.82175,-6.38024,-5.89414,-15.7511
