SupLeftR,SupLeftA,SupLeftS,SupRightR,SupRightA,SupRightS,LeftR,LeftA,LeftS,RightR,RightA,RightS,InfLeftR,InfLeftA,InfLeftS,InfRightR,InfRightA,InfRightS
-43.1018,-12.9876,12.3067,12.6598,-4.846,17.7665,-41.6713,-20.3069,-11.7568,14.0903,-12.1653,-6.29701,-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,TrXFiducials007
-41.6713,-20.3069,-11.7568,14.0903,-12.1653,-6.29701,-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,TrXFiducials007
-38.4589,-26.8542,-37.4694,13.7388,-20.2566,-28.7114,-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,TrXFiducials007
-34.2179,-28.7901,-63.543,16.3204,-24.5204,-47.9824,-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,TrXFiducials007
-27.8791,-25.9747,-84.6674,22.5276,-27.9975,-68.7765,-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,TrXFiducials007
-22.6947,-23.0507,-101.572,30.7623,-29.9865,-93.9833,-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,TrXFiducials007
-20.766,-19.4441,-122.478,33.9947,-27.6351,-120.704,-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,TrXFiducials007
-20.324,-16.6297,-140.356,32.4921,-22.0446,-151.174,-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,TrXFiducials007
-21.0419,-14.2544,-159.676,29.1345,-14.6892,-176.984,-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,TrXFiducials007
-26.9611,-10.3667,-176.87,20.2747,-9.87248,-198.489,-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,TrXFiducials007
-31.0244,-11.6408,-206.314,10.3792,-3.75741,-218.807,-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,TrXFiducials007
-35.3862,-9.67035,-234.898,4.77147,-0.458374,-242.064,-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,TrXFiducials007
-48.4239,-4.45837,-264.823,7.04202,13.1898,-268.091,-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,-56.1248,2.5605,-323.379,20.034,17.5465,-320.227,TrXFiducials007
-57.5034,-1.9001,-294.97,11.19,15.1446,-293.832,-56.1248,2.5605,-323.379,20.034,17.5465,-320.227,-51.0135,5.99175,-350.781,25.1453,20.9778,-347.629,TrXFiducials007
