Landmark,RL,AP,SI
Max angle:,40.8926215938,T10,T4,TrXFiducials007-Z-C-N
T1L+,-0.157805,-0.00270792,0.786351
T1R+,0.102677,0.0326249,0.809388
T2L+,-0.155063,-0.0354019,0.675691
T2R+,0.105419,-6.90837e-05,0.698733
T3L+,-0.141925,-0.0652044,0.550882
T3R+,0.0977656,-0.0356547,0.602227
T4L+,-0.123482,-0.0752441,0.436267
T4R+,0.113358,-0.0532768,0.511232
T5L+,-0.0927825,-0.0609311,0.344285
T5R+,0.140229,-0.073569,0.413424
T6L+,-0.0729184,-0.045431,0.257747
T6R+,0.179838,-0.0778657,0.29772
T7L+,-0.0614743,-0.0300678,0.166027
T7R+,0.196768,-0.0655467,0.172932
T8L+,-0.0593891,-0.0159567,0.0873507
T8R+,0.183314,-0.0435081,0.0362074
T9L+,-0.0611188,-0.00688928,-0.00302066
T9R+,0.168024,-0.00770045,-0.0801189
T10L+,-0.0929573,0.0101729,-0.0835325
T10R+,0.131251,0.0176974,-0.180226
T11L+,-0.108251,0.00608765,-0.209544
T11R+,0.0843005,0.0406375,-0.27531
T12L+,-0.125467,0.0147303,-0.341016
T12R+,0.0604227,0.0567183,-0.374073
L1L+,-0.191633,0.0395758,-0.47962
L1R+,0.0677394,0.118615,-0.501353
L2L+,-0.232585,0.0504083,-0.618767
L2R+,0.0859164,0.127668,-0.617817
L3L+,-0.22341,0.0720623,-0.750266
L3R+,0.128113,0.137941,-0.736052
L4L+,-0.197725,0.0880256,-0.875135
L4R+,0.153798,0.153905,-0.860921
L5L+,-0.172039,0.103989,-1.0
L5R+,0.179484,0.169868,-0.985786
Max angle:,11.6337482231,T9,T6,TrXFiducials010-Z-C-N
T1L+,-0.171853,0.228599,0.602682
T1R+,0.0799192,0.215099,0.62209
T2L+,-0.161775,0.162251,0.549798
T2R+,0.0838978,0.152548,0.583947
T3L+,-0.140528,0.0954066,0.492289
T3R+,0.0818338,0.0874057,0.518128
T4L+,-0.136868,0.0309271,0.409776
T4R+,0.0968223,0.0320747,0.442112
T5L+,-0.12902,-0.0280037,0.329916
T5R+,0.107589,-0.0262656,0.361069
T6L+,-0.114205,-0.0775625,0.235161
T6R+,0.131359,-0.0842666,0.278105
T7L+,-0.100552,-0.115636,0.155519
T7R+,0.135913,-0.130444,0.166592
T8L+,-0.108982,-0.144578,0.044116
T8R+,0.125234,-0.1686,0.0533932
T9L+,-0.0923385,-0.15758,-0.0805218
T9R+,0.113216,-0.168255,-0.0866736
T10L+,-0.0887254,-0.122428,-0.206836
T10R+,0.109712,-0.129447,-0.197397
T11L+,-0.0764649,-0.0766528,-0.311423
T11R+,0.115407,-0.0685195,-0.313938
T12L+,-0.0716579,-0.017416,-0.427474
T12R+,0.112187,-0.0100324,-0.419656
L1L+,-0.146128,0.046513,-0.520264
L1R+,0.174375,0.0548261,-0.516576
L2L+,-0.138325,0.0824508,-0.637294
L2R+,0.169426,0.101709,-0.62252
L3L+,-0.158508,0.104366,-0.755707
L3R+,0.199041,0.131509,-0.7484
L4L+,-0.153791,0.130223,-0.877855
L4R+,0.203757,0.157366,-0.870549
L5L+,-0.149075,0.156081,-1.0
L5R+,0.208474,0.183224,-0.992694
Max angle:,56.8796209231,L2,T7,TrXFiducials011-Z-C-N
T1L+,-0.286355,-0.0415212,0.881605
T1R+,-0.0196509,0.0171035,0.934475
T2L+,-0.27336,-0.0567292,0.7798
