Landmark,RL,AP,SI
Max angle:,40.8926386714,TrXFiducials007-Z-C-N,
T1L+,-0.157805245095,-0.00270791811191,0.786351373672
T1R+,0.102677145846,0.032624887592,0.809388133385
T2L+,-0.148527684487,-0.0771449283342,0.691846060673
T2R+,0.0853268549616,0.00657320743636,0.682137679165
T3L+,-0.134871717227,-0.0756047092074,0.555598377654
T3R+,0.0724164510268,-0.0573886472499,0.592229624328
T4L+,-0.114079447228,-0.0628044192406,0.44785644809
T4R+,0.090767402595,-0.0474944484208,0.501477362403
T5L+,-0.127165115895,-0.0686427535833,0.349371891574
T5R+,0.126437904898,-0.0820527996476,0.42330011562
T6L+,-0.0832011965718,-0.0565054414652,0.243585402558
T6R+,0.187697975738,-0.0984496870928,0.27899897227
T7L+,-0.0548170272899,-0.0381625190405,0.172415992219
T7R+,0.170301804034,-0.0583071812659,0.184441813944
T8L+,-0.0501481950485,-0.0229760135073,0.101500761622
T8R+,0.201627392685,-0.0265354475215,0.041878636055
T9L+,-0.0542985740241,-0.0210389252877,-0.00926563159537
T9R+,0.174487970049,-0.01461616106,-0.0732835985245
T10L+,-0.098479968434,0.0329496320358,-0.0961602341757
T10R+,0.121513057681,0.0278384169282,-0.173549248472
T11L+,-0.0964190020004,-0.000215385215365,-0.185796674558
T11R+,0.0770439905302,0.0171971407073,-0.260104332985
T12L+,-0.118261942777,0.0243262860394,-0.334648277634
T12R+,0.0384241773569,0.0370629851897,-0.394954486227
L1L+,-0.196570408706,0.0311018278919,-0.473632292756
L1R+,0.0627539503386,0.12537714034,-0.507818091725
L2L+,-0.222293949237,0.0559250490925,-0.631118207345
L2R+,0.101080952119,0.119293343611,-0.641803850318
L3L+,-0.213728917763,0.0625401457175,-0.755496522234
L3R+,0.112919121291,0.144190570574,-0.7544091468
L4L+,-0.197724770137,0.0880255647929,-0.875135348419
L4R+,0.153798473086,0.153904916589,-0.860921470389
L5L+,-0.172038851878,0.103989337297,-1.0
L5R+,0.179484391345,0.169868230285,-0.98578612197
Max angle:,11.6338183692,TrXFiducials010-Z-C-N,
T1L+,-0.179627219109,0.223824074483,0.595173483946
T1R+,0.0752908558737,0.203112635868,0.614033152422
T2L+,-0.155006324553,0.1525129065,0.55754607363
T2R+,0.0991995028608,0.143260306814,0.577604465428
T3L+,-0.150304461016,0.0871376252041,0.497668740532
T3R+,0.0713619114857,0.0759468443425,0.513296268514
T4L+,-0.125690185177,0.0426414567062,0.403234346733
T4R+,0.0855300122079,0.0135149803645,0.435268940564
T5L+,-0.136204386004,-0.0403271117387,0.335142449514
T5R+,0.0891350071335,-0.012902123873,0.365737104532
T6L+,-0.123057406345,-0.073448278398,0.231206886408
T6R+,0.155121784406,-0.0735236582388,0.287124387769
T7L+,-0.0918611834267,-0.106381547015,0.159534998309
T7R+,0.148676256453,-0.126503184339,0.179417258674
T8L+,-0.115765417935,-0.131855153039,0.0655091264763
T8R+,0.12925399697,-0.155781817647,0.0589966759329
T9L+,-0.11136948624,-0.174891894277,-0.105339834385
T9R+,0.0995683125211,-0.159176116725,-0.071229537131
T10L+,-0.093298180588,-0.13016921855,-0.211626145406
T10R+,0.0991031637471,-0.141202988719,-0.215210548765
T11L+,-0.0545194810925,-0.0701510538469,-0.30503427025
T11R+,0.108568297813,-0.0741388312815,-0.326164158908
T12L+,-0.047654767683,-0.0106119372251,-0.437508273397
T12R+,0.121126211593,-0.00489961611437,-0.424829751872
L1L+,-0.150590536704,0.0515976849196,-0.486814043448
L1R+,0.168918501522,0.0494613099178,-0.535946991425
L2L+,-0.133503213755,0.0875704158026,-0.649803644707
L2R+,0.174108311639,0.107414434688,-0.616750503758
L3L+,-0.162589904249,0.100141199312,-0.751573783994
L3R+,0.189199355778,0.115977952316,-0.755063319066
L4L+,-0.153791422142,0.130223271412,-0.877855241289
L4R+,0.203757225434,0.157366265131,-0.870548912324
L5L+,-0.149074850343,0.156080763065,-1.0
L5R+,0.208473797232,0.183223756784,-0.992693671035
Max angle:,56.8796759323,TrXFiducials011-Z-C-N,
T1L+,-0.28635499517,-0.0415211583123,0.881604907824
T1R+,-0.0196509238136,0.0171035000103,0.934474998459
