Landmark,RL,AP,SI
Max angle:,40.8926386714,TrXFiducials007-Z-C+-N,
T1L+,-0.157805245095,-0.00270791811191,0.786351373672
T1R+,0.102677145846,0.032624887592,0.809388133385
T2L+,-0.144235992586,-0.0279341701995,0.666997008571
T2R+,0.0989378590174,-0.00478472719264,0.69326377801
T3L+,-0.130920919819,-0.0721191433133,0.542591165189
T3R+,0.103012075832,-0.026401016719,0.597487566298
T4L+,-0.11274339775,-0.068469782892,0.431289801611
T4R+,0.120180219861,-0.0598639174879,0.506524252601
T5L+,-0.0865610490191,-0.0549175062857,0.339177632183
T5R+,0.146464424012,-0.0687542439758,0.401393859311
T6L+,-0.0670846409367,-0.0508428306631,0.262957202371
T6R+,0.174265448072,-0.0728472719264,0.303664501092
T7L+,-0.0562374974766,-0.0346667676045,0.176496632348
T7R+,0.201800363376,-0.0600245003579,0.180930095983
T8L+,-0.0683078235974,-0.020621363945,0.0824037879205
T8R+,0.18891060581,-0.048548789664,0.0421635100663
T9L+,-0.0669525041752,-8.35930187744e-05,0.00424082842409
T9R+,0.163374259025,-0.0132289085871,-0.0736997375617
T10L+,-0.097894529171,0.000996503881517,-0.0887091890106
T10R+,0.140545339426,0.0264819504854,-0.18750894676
T11L+,-0.101836609224,-6.92089229019e-05,-0.203098790582
T11R+,0.075966708877,0.0481358622841,-0.280114335003
T12L+,-0.132002789554,0.0101023601094,-0.335089651122
T12R+,0.0543793242673,0.0629539907137,-0.369174512287
L1L+,-0.197736240342,0.0453308924737,-0.472164106517
L1R+,0.0560833379214,0.112449760502,-0.507850208299
L2L+,-0.241646937914,0.0457590981666,-0.623410229588
L2R+,0.0921341922223,0.132317073171,-0.612564003744
L3L+,-0.228878305713,0.0778560810439,-0.741713923911
L3R+,0.133068601002,0.132539136339,-0.729683972912
L4L+,-0.197724770137,0.0880255647929,-0.875135348419
L4R+,0.153798473086,0.153904916589,-0.860921470389
L5L+,-0.172038851878,0.103989337297,-1.0
L5R+,0.179484391345,0.169868230285,-0.98578612197
Max angle:,11.6338183692,TrXFiducials010-Z-C+-N,
T1L+,-0.166016193796,0.235531850741,0.597813616909
T1R+,0.0745947873921,0.2195299975,0.618357381341
T2L+,-0.156997087764,0.166113636029,0.540429334157
T2R+,0.0879292973863,0.157121740282,0.5915111268
T3L+,-0.136706673138,0.0883951815735,0.497400314757
T3R+,0.0858958802159,0.0832921502008,0.524294371148
T4L+,-0.141568121314,0.0364503816794,0.413456588566
T4R+,0.102150715557,0.0239450867052,0.437221462295
T5L+,-0.123321787348,-0.0239831443322,0.32451315654
T5R+,0.113284501905,-0.0199602141523,0.36674388504
T6L+,-0.119813131536,-0.0715284825486,0.23927252938
T6R+,0.12583653238,-0.0792135492506,0.28191251526
T7L+,-0.0935408669049,-0.119511612173,0.150580240921
T7R+,0.140891541279,-0.126522305079,0.174933812823
T8L+,-0.102324273044,-0.138469090588,0.048191251526
T8R+,0.120761814411,-0.172370898234,0.0576607980703
T9L+,-0.0965465001691,-0.163612128433,-0.0842588506964
T9R+,0.108888202503,-0.17301438468,-0.0828678168527
T10L+,-0.0827887599465,-0.118198164409,-0.210560531851
T10R+,0.106004647811,-0.136641956787,-0.19282604539
T11L+,-0.0806108341055,-0.0867802144465,-0.31721271088
T11R+,0.111726529292,-0.0724076688876,-0.318548588742
T12L+,-0.0651903249055,-0.013630256365,-0.423649413876
T12R+,0.107728456074,-0.00557490917648,-0.411636441189
L1L+,-0.142275588698,0.0405367044669,-0.524279662887
L1R+,0.179113165365,0.0507582108871,-0.521021782935
L2L+,-0.143322081513,0.0873483210519,-0.633326714616
L2R+,0.17344165968,0.110674888585,-0.618820691582
L3L+,-0.162920472429,0.111087455324,-0.760942946653
L3R+,0.20414662666,0.123441291974,-0.744171851329
L4L+,-0.153791422142,0.130223271412,-0.877855241289
L4R+,0.203757225434,0.157366265131,-0.870548912324
L5L+,-0.149074850343,0.156080763065,-1.0
L5R+,0.208473797232,0.183223756784,-0.992693671035
Max angle:,56.8796759323,TrXFiducials011-Z-C+-N,
T1L+,-0.28635499517,-0.0415211583123,0.881604907824
T1R+,-0.0196509238136,0.0171035000103,0.934474998459
